bus_width,al,pc,scr,is_depth,os_depth,freq,operation,dim1,dim2,dim3,data_stream,Lin,Linp,Lwt,Lwtp,Cmpfis_aor,Cmpfis_tos,Cmpfis_aos,Cmpfis_ptos,Cmpfis_paos,Cmpfgt_aor,Cmpfgt_tos,Cmpfgt_aos,Cmpfgt_ptos,Cmpfgt_paos,Cmpfgtp,Lpenalty,Nop,Nop_w_rd,IS_reward,L2_reward,Fussion
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,6912,0,4032,0,96,0,6911,0,2304
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,6912,0,4032,0,96,0,6911,0,2304
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,6912,0,4032,0,96,0,6911,0,2304
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,6912,0,4032,0,96,0,0,6911,2304
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,6912,0,4032,0,96,0,0,6911,2304
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,6912,0,4032,0,96,0,0,6911,2304
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,18144,0,10584,0,96,0,0,12095,6048
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,18144,0,10584,0,96,0,0,18143,6048
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,18144,0,10584,0,96,0,0,12095,6048
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,18144,0,10584,0,96,0,0,12095,6048
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,18144,0,10584,0,96,0,0,12095,6048
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,18144,0,10584,0,96,0,0,12095,6048
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,18144,0,10584,0,96,0,0,12096,6048
128,128,16,16,0,512,500,mvm,128,768,12,wspp,0,0,3072,3072,0,0,0,0,0,0,96,384,0,96,504,0,24,480,0,576,0
128,128,16,16,0,512,500,mvm,64,768,12,wspp,0,0,1536,1536,0,0,0,0,0,0,48,192,0,48,504,0,16,240,0,288,0
128,128,16,16,0,512,500,mvm,16,768,12,wspp,0,0,384,384,0,0,0,0,0,0,12,48,0,12,504,0,8,60,0,72,0
128,128,16,16,0,512,500,mvm,16,128,12,wspp,0,0,64,64,0,0,0,0,0,0,0,0,12,0,84,0,8,0,0,12,0
128,128,16,16,0,512,500,mvm,16,128,12,wspp,0,0,64,64,0,0,0,0,0,0,0,0,12,0,84,0,8,0,0,0,0
128,128,16,16,0,512,500,mvm,32,128,12,wspp,0,0,128,128,0,0,0,0,0,0,0,0,24,0,84,0,8,0,0,12,0
128,128,16,16,0,512,500,mvm,48,128,12,wspp,0,0,192,192,0,0,0,0,0,0,0,0,36,0,84,0,8,0,0,24,0
128,128,16,16,1,512,500,mha,128,768,12,wspp,0,0,9216,9216,0,0,0,0,0,0,0,0,18144,0,10584,0,96,0,0,10584,6048
128,128,16,16,1,512,500,mha,9,768,12,lhd,0,0,3840,3840,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0
128,128,16,16,1,512,500,mha,9,768,12,lhd,0,0,3840,3840,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0
128,128,16,16,1,512,500,mha,9,768,12,lhd,0,0,3840,3840,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0
128,128,16,16,1,512,500,mha,9,768,12,lhd,0,0,3840,3840,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0
128,128,16,16,1,512,500,mha,9,768,12,wspp,0,0,3840,3840,0,0,0,0,0,0,0,0,540,0,756,0,96,0,0,0,432
128,128,16,16,1,512,500,mha,7,768,12,lhd,0,0,3840,3840,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0
128,128,16,16,1,512,500,mha,7,768,12,wspp,0,0,3840,3840,0,0,0,0,0,0,0,0,540,0,756,0,96,0,0,0,432
128,128,16,16,1,512,500,mha,7,768,12,wspp,0,0,3840,3840,0,0,0,0,0,0,0,0,420,0,588,0,96,0,0,0,336
128,128,16,16,1,512,500,mha,1,768,12,wspp,0,0,3840,3840,0,0,0,0,0,0,0,0,60,0,84,0,96,0,0,0,48
256,128,8,8,256,16,500,mvm,512,1024,1024,wspp,256,768,16384,0,0,16,96,2032,14240,0,0,0,63488,444416,190464,0,256,32880,14336,444416,0
256,128,8,8,256,16,500,mvm,55,768,64,wspp,252,756,1344,0,0,16,75,278,1395,0,0,0,154,770,726,0,24,243,1302,682,0
128,128,8,8,256,16,500,mvm,55,768,64,wspp,252,1764,1344,1344,0,16,75,278,1395,0,0,0,154,770,1694,0,48,243,1302,682,0
64,128,8,8,256,16,500,mvm,55,768,64,wspp,252,3780,1344,4032,0,16,75,278,1395,0,0,0,154,770,3630,1997,96,243,1302,682,0
256,128,8,8,256,16,500,mvm,55,768,64,wspp,252,756,1344,0,0,16,75,278,1395,0,0,0,154,770,726,1997,24,243,1302,682,0
256,128,8,8,256,16,500,mvm,512,1024,1024,wspp,256,768,16384,0,0,16,96,2032,14240,0,0,0,63488,444416,190464,425872,256,32880,14336,444416,0
256,128,8,8,256,16,500,mvm,512,1024,1024,wspp,256,768,16384,0,0,16,96,2032,14240,0,0,0,63488,444416,190464,425872,256,32880,14336,444416,0
256,128,8,16,1024,16,500,mha,64,768,12,wspp,0,0,6144,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
256,128,8,16,1024,16,500,mha,64,768,12,wspp,0,0,6144,0,0,0,0,0,0,0,0,0,12288,0,2304,0,48,0,0,5376,6144
256,128,8,16,1024,16,500,mha,64,768,12,lhd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,128,8,16,1024,16,500,a2a,64,768,12,wspp,0,0,6144,0,0,0,0,0,0,0,0,0,12288,0,2304,0,48,0,0,5376,6144
256,128,8,16,1024,16,500,a2a,64,768,12,wspp,0,0,6144,0,0,0,0,0,0,0,0,0,12288,0,2304,0,48,0,0,5376,6144
256,192,8,16,1024,16,500,a2a,64,768,12,wspp,0,0,6144,0,0,0,0,0,0,0,0,0,12288,0,3840,0,48,0,0,5376,6144
256,192,8,16,1024,16,500,proj,64,768,12,isap,48,240,1024,0,288,0,0,96,0,0,0,0,0,0,0,0,8,0,0,0,0
256,128,8,16,1024,16,500,proj,64,768,12,isap,72,216,1536,0,456,11,0,85,24,0,0,0,0,0,0,4,12,20,0,0,0
128,64,8,8,32,32,500,proj,64,4096,1024,isap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,64,8,8,32,32,500,proj,64,4096,1024,isap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,64,8,8,128,32,500,proj,64,4096,1024,isap,65536,196608,8388608,0,458752,8192,49152,0,8192,0,0,0,0,0,0,0,131072,57344,0,0,0
128,64,8,8,32,32,500,proj,64,4096,1024,isap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
